PublishedAt,Title,description
2017-05-21T21:16:44Z,Real-life Candy reveals 'horrific' path from drug addiction to redemption,The 2006 Australian film Candy exposed Megan Bannister's former life as a heroin addict and prostitute. Her redemption story has largely gone unnoticed — until now.
,Trump attacks Iran in ‘good and evil’ speech,None
,New world of Chinese palace intrigue,None
,Huntsman and Clariant set to announce $14bn tie-up,None
,US solar power groups await critical tariff ruling,None
,Trump faces tough fight to gain budget support,None
,Center Parcs hails ‘huge’ China opportunity,None
,Macau casinos cash in as China luxury rebounds,None
,US Hispanics: Too scared to spend,None
,The case for higher US taxes,None
,Lawyers vote for Brazil president’s impeachment,None
2017-05-18T21:00:00Z,Why China Must Figure Out How to Feed the Whole World,It faces a stark ultimatum.
2017-05-21T22:17:25.936Z,"With Three Words Missing, Trump Tries to Change Tone on Muslims","President Donald Trump set aside a defiant catchphrase of his political campaign in his first major address to the Muslim world, refraining from using “radical Islamic terrorism” to describe the threat."
2017-05-21T17:28:38.376Z,Chaffetz Says He'll Talk to Deposed FBI Director Comey on Monday,The Republican chairman of the House Oversight and Government Reform Committee said he’ll talk to deposed FBI Director James Comey on Monday and is pursuing any records of President Donald Trump’s meetings with the fired Federal Bureau of Investigation director.
2017-05-22T00:55:40.301Z,Cathay Pacific Cuts 600 Jobs as Part of Reorganization,"Cathay Pacific Airways Ltd., Asia’s biggest international airline, will eliminate 600 jobs, including 190 managerial positions, as part of the biggest revamp in two decades to help revive earnings."
2017-05-21T22:51:30.682Z,Huntsman and Clariant Are in Talks Toward a $14 Billion Merger,"Huntsman Corp. and Clariant AG are in talks to merge in a transatlantic deal that would create a chemicals company valued at about $14 billion, according to a person familiar with the discussions."
2017-05-21T16:04:18.53Z,Tesla Focuses on Connecticut's Budget Woes in Latest Bid for Direct Sales,Maybe all that’s standing between Tesla Inc. and the driveways of some of America’s wealthiest residents is a little financial disarray.
2017-05-21T21:00:00.018Z,Commodity Traders Are Stuck in a World Where Everybody Knows Everything,"For commodity traders operating in the Information Age, just good old trading doesn’t cut it anymore."
